Song_Name,Song_Lyrics,Album_Name,Album_Year,Negative,Neutral,Positive,Compound
Afraid,wish smarter got lost shore wish taller things really matter put face tomorrow believe alone believe beatles believe little soul grown still afraid yes still afraid still afraid made life wonderful made feel bad used wake ocean used walk clouds put faith medication smile crooked smile talk television walk empty mile feel afraid feel afraid afraid anymore anymore afraid anymore afraid,Heathen,2002,0.118,0.588,0.294,0.9245
I've Been Waiting for You,looking looking looking looking looking woman save life beg borrow woman feeling losing twice knows could tomorrow waiting coming long time long time woman feeling losing twice knows could tomorrow waiting coming long time long time long time long time,Heathen,2002,0.112,0.754,0.134,0.0
I Would Be Your Slave,walking snowy street let understand drifting silent park stumbling land open heart show would slave sleep quietude walk peace laugh loud one else free open heart show would slave sit wait give damn see point footprints sand bet laugh loud chance strike give peace mind last show open heart would slave sit around wait give damn see point footprints sand would give love nothing else free open heart would slave,Heathen,2002,0.074,0.635,0.291,0.9686
I Took a Trip on a Gemini Spaceship,took trip gemini spacecraft thought passed shadow jupiter thought shot space gun boy really felt blue two three flying saucers parked stars winding stream moon shining little town beam old dream took trip gemini spacecraft thought shot space gun thought pulled sun visor boy really felt blue jumped gemini jumped mine orbit moon one time tomorrow night tomorrow night hold hands moonlight took trip gemini spacecraft thought shot space gun thought took took walk space boy really felt blue well peeked crack looked way back stardust trail leading back could yes well thought thought took trip gemini spacecraft thought,Heathen,2002,0.066,0.847,0.087,0.3021
5.15 The Angels Have Gone,5 15 changing trains little town let foreign rain brings 5 15 train overdue angels gone ticket jumping tracks changing towns never talk anymore forever adore 5 15 life angels gone changing trains angels like thin ground life legs wings strange sandy eyes 5 15 train overdue angels gone never talk anymore forever adore cold station life forever forever,Heathen,2002,0.029,0.816,0.155,0.836
Everyone Says 'Hi',said took big trip said moved away happened quietly say shoulda took picture something could keep buy little frame something cheap everyone says hi said sailed big ship said sailed away know right thing say love get letter like know hope weather good hot everyone says hi everyone says hi everyone says stay sad place care everyone says hi money lousy always come home old things bad things food gets leery always phone could good things could could could stay bad place care everyone says hi everyone says hi everyone says hi girl next door guy upstairs everyone says hi mum dad everyone says hi big fat dog everyone says hi everyone says hi hi hi hi hi,Heathen,2002,0.096,0.751,0.153,0.802
A Better Future,please tear world asunder please take back fear demand better future might stop wanting might stop wanting please make sure get tomorrow pain sorrow demand better future might stop needing might stop needing give children sunny smiles give moon cloudless skies demand better future might stop loving loving loving talk talk walk walk factory field many tears must fall nothing moving might stop wanting might stop needing might stop loving demand better future demand better future demand better future might stop loving loving loving demand better future demand better future demand better future might stop loving loving loving demand better future,Heathen,2002,0.267,0.279,0.454,0.9929
Heathen (The Rays),steel skyline sky made glass made real world things must pass waiting something looking someone reason stared long whoa whoa say leave sun low rays high see feel die whoa whoa,Heathen,2002,0.205,0.795,0.0,-0.7351
Thursday's Child,life tried hard best nothing much happened something stood apart whisper hope seemed fail maybe born right time breaking life two throw tomorrow really got chance throw tomorrow everything falling place throw tomorrow seeing past let go throw tomorrow regret thursday child monday tuesday wednesday born monday tuesday wednesday born sometimes cried heart sleep shuffling days lonesome nights sometimes courage fell feet lucky old sun sky nothing prepared smile lighting darkness soul innocence arms throw tomorrow really got chance throw tomorrow everything falling place throw tomorrow seeing past let go throw tomorrow regret thursday child monday tuesday wednesday born thursday child monday tuesday wednesday born thursday child monday tuesday wednesday born monday tuesday wednesday born monday tuesday wednesday born monday tuesday wednesday born,‘hours...’,1999,0.164,0.701,0.135,-0.0822
Something in the Air,coat hat gone really look little empty shelf ragged teddy bear feels like never chance look eye lay others arms room empty space guess lived something air smiled fast think thing say lived best times left worst danced long nothing left say let take know hold head high raced last time place return something air something eye danced long something air something eye abracadoo lose avoid clash big mistake going pay pay sentence lives believe asking go used could get things want lost way guess know never wanted anyone lived best times left worst danced long say something air raced last time well know hold head high nothing say nothing eyes something air something eye danced long something say something air something eye danced long,‘hours...’,1999,0.17,0.704,0.126,-0.5833
Survive,naked eyes kept tried wiser kind guy miss give wings give space give money change face noisy rooms passion pants loved morning life sense staying right said time side got ears eyes nothing life survive naked eyes survive alone across floor nothing great mistake never made never lied hated lied survive naked eyes survive beatle boys snowy white razzle dazzle clubs every night wish sent valentine love survive naked eyes survive survive naked eyes survive,‘hours...’,1999,0.126,0.621,0.253,0.9378
If I'm Dreaming My Life,never ever air breathed wrong time flowers gallery hymns night singing come wrong time wrong day lights fading dreaming life dreaming life one living chance mother sighs father steps aside wrong time wrong time wrong day lights fading dreaming life dreaming life ever ever dreaming life dreaming life away dreaming life dreaming dreaming dreaming dreaming life dreaming life away dreaming life dreaming dreaming life away,‘hours...’,1999,0.237,0.738,0.025,-0.9485
Seven,forgot father said forgot said forgot mother said lay upon bed city full flowers city full rain got seven days live life seven ways die forgot brother said forgot said regret anything remember wept bridge violent people small enough cry got seven days live life seven ways die hold face still trembling heart seven days live life seven ways die gods forgot made forgot listen shadows play among graves heart never broken patience never tried got seven days live life seven ways die seven days live life seven ways die seven seven seven seven seven seven seven seven seven,‘hours...’,1999,0.289,0.672,0.039,-0.9862
What's Really Happening,grown inside plastic box micro thoughts safety locks hearts become outdated clocks ticking mind time close eyes time say goodbye time face lie never cry really happening tore us apart really happening really happening tore us apart really happening clouds made glass slowly sinking falling like shattered past built last really happening tore us apart really happening really happening tore us apart really happening time close eyes time say goodbye time face lie never cry really happening tore us apart really happening really happening tore us apart really happening,‘hours...’,1999,0.048,0.846,0.106,0.6916
The Pretty Things Are Going to Hell,say wear sunny day phone fight dance sunday night reaching edge know reaching edge going side time reaching edge still breathing know life bit sometimes die still breathing tell hold breath pretty things going hell drug dragon best jazz ever seen dragon sky blood corner eye found secrets found gold find grow old find grow old eternal damned clay sand diss trust listen suss reaching edge know reaching edge going side time reaching edge still breathing know life bit sometimes die still breathing tell hold breath pretty things going hell dragon drug best jazz ever heard dragon sky blood corner eye found secrets found gold found grow old found grow old pretty things going hell wore wore well pretty things going hell wore wore well pretty things going hell wore wore well pretty things going hell wore wore well still breathing know still breathing tell hold breath pretty things going hell,‘hours...’,1999,0.205,0.54,0.255,0.2263
New Angels of Promise,new angels promise despair dead dreams take blame take us edge time take us edge time fabulous lovers blind man eyes suspicious minds feel us coming lonely crowd always time suspicious minds feel us coming lonely crowd always time new angels promise despise fall apart silent ones take us edge time take us edge time tabular lovers listen storm suspicious minds feel us coming lonely crowd always time suspicious minds feel us coming lonely crowd always time new angels promise despair dead dreams take blame take us edge time take us edge time fabulous lovers blind man eyes suspicious minds feel us coming lonely crowd always time suspicious minds feel us coming lonely crowd always time suspicious minds feel us coming lonely crowd always time always time always time always time,‘hours...’,1999,0.323,0.521,0.156,-0.9788
The Dreamers,black eyed ravens spiral tilt head back flame filled sunset raise guns high darken falls days boys shallow man shallow man eats doorway head inclined always decline one heals anymore shrinks ride vermillion sky goes searcher lonely soul last dreamers shallow man shallow man speaks shadows moves trembling hands always little late dawning day goes searcher lonely soul last dreamers,‘hours...’,1999,0.116,0.884,0.0,-0.7579
Little Wonder,stinky weather fat shaky hands dopey morning doc grumpy gnomes little wonder little wonder little wonder little wonder big screen dolls tits explosions sleepy time bashful nude little wonder little wonder little wonder little wonder getting intergalactic seeming tablets sneezy bhutan little wonder little wonder little wonder little wonder mars happy nation sit karma dame meditation take away little wonder little wonder little wonder little wonder sending far away far away far away far away far away far away far away far away far away far away far away far away far away far away far away far away little wonder little wonder little wonder little wonder good gotta good sending far away far away far away far away far away far away far away far away far away far away far away far away far away far away far away far away little wonder little wonder little wonder little wonder little wonder little wonder little wonder little wonder little wonder little wonder,Earthling,1997,0.043,0.907,0.05,0.5072
